sentences,text,final_label
505,The Stromboli were amazing as well as the spreads for the bread.,food
506,On the last day of our visit to toronto we were in a particularly cranky mood.,other
507,"a 'bomb' coming overhead and dropping peanuts may tickle me when i'm 4 or 5, but now it sort of adds to the apprehension of the rest of the decor.",ambiance
508,"In the age of social media, who sends out food like this out of the kitchen?",service
509,Will definitely be coming back to try more food!,food
510,"The Pansit Malabon is so unique, addictive, and only available here in Manila BBQ or another restaurateur in SD.",food
511,"We had a selection of items from the dinner menu, but by far the best is their famous apple tart.",food
512,There is a dessert menu containing Chinese dessert and drinks.,food
513,"What impressed me most were actually their appetizers and desserts--their mushroom salad special is amazing, and their Hawkins Centre dessert is probably my favourite dessert dish this year!!",food
514,Friend had the meatloaf and said it was good.,food
515,Thankfully the other table across from us was leaving and the staff were able to move us to that table which had both ends open which allowed for us to all fit.,service
516,It was just ok.  Portions on the small side.,food
517,"If it weren't for that group that went into the cafe, we would've left J-Town and went to another restaurant.",other
518,They also have out door seating and beer to go with the pizza.,ambiance
519,Our new FAVORITE Sun Prairie spot.,ambiance
520,Ranging from Luke.,other
521,The Plaintains were done properly.,food
522,"There are so many dishes I wanted to try but we were on our way to a movie, so leftovers were not an option.",food
523,But it's just that good.,food
524,"I loved the texture of the salmon- very creamy, and the cubed hard-boiled eggs added some fun mouth-feel!",food
525,Cook-to-order so a little bit of a wait.,service
526,I do not recommend this restaurant at all and on my next trip to Vegas it will be skipped with extreme prejudice.,other
527,"The bottom crust was a little thin, but my pizza managed to keep it's integrity and didn't get soggy.",food
528,Apollo was our waiter and he was just fantastic.,service
529,Nothing jumped out as amazing or stellar until I had the coffee.,food
530,The broth isn't even seasoned.,food
531,"Sooo....that was my first impression....

As we were seated we noticed the restaurant was very warm but they had a huge fan at the back where we were sitting so that helped a little.",ambiance
533,A great beef hibachi dish with vegetables and noodles for $7.95 with enough left over for a second meal.,food
534,"Found it to be very welcoming, though a bit on the chilly side for me.",ambiance
535,We eat there a couple times a month and honestly can't think of one thing to improve.,food
536,The white (dill?),food
537,It may be asking too much.,other
538,Seasoned bread: The Dunkin' Catfish and the Red Beans and Rice came with delicious buttered and seasoned bread.,food
539,Service was personal but not intrusive.,service
540,I was traveling to Montreal on business and entertained my colleagues at this spectacular sushi bar.,food
541,We ordered the guacamole as an appetizer and that was the best part of the meal.,food
542,This will my stop from now before heading to the airport.,other
543,As I waited she didn't  even offer or ask if I wanted to wait for the chicken that was cooking.,service
544,"But my real deal it the mexican tacos, three of those and some great guacamole.",food
545,The  food with a slightly hefty price was more waffle housy to me,food
546,Love their Tofu Stew!,food
547,This place is EXTREMELY loud.,ambiance
548,Nope.,other
549,The Yolk is the BEST breakfast in our town.,food
550,"Food was good but a little overpriced, especially drinks - $16 margaritas seem a little much to me.",food
552,I wouldnt put too much on because it will over power the other ingridients.,food
553,"The presentation was unique with each component of the salad placed separately on the plate, and when you combined a little bit of each together for a bite it was pure heaven.",food
554,The California roll I got alright I guess.,food
555,It's Mexican/American food!,food
556,Finally seated at nice table CHAE our waiter who has been there 29 years takes care of us all evening.,service
557,This is a popular bar on Mill Avenue near ASU campus.,other
558,"We weren't even in a rush or anything, but yumcha is also nice early in the morning like that so we took our time.",food
559,This place is just mediocre.,other
560,"I don't know call me crazy usually when you go to a sushi bar the chefs are very friendly and knowledgeable about different roles and specials they offer, this never occurred in this place.",service
561,I could not in good faith recommend this restaurant!,other
562,Even 2 of my friends showed up in the middle of dinner to try this place out haha,other
564,"Once the waitress took our order, she was back in about 5 minutes w/ our drinks which is OK since the restaurant was starting to fill up around 1pm.",service
565,While waiting for my friend to join me I ordered crab rangoons.,food
566,Adam reported that the chef had recently changed the recipe and inquired if I liked it (I was only able to eat a little less than half).,food
567,First of all I don't even know where this place is I only order so it's extremely misleading to offer something and then change your terms out of the blue..,other
568,"Owner is a douchebag - serves yellowed tomatoes, and if you ask for a different piece, he screams, I can't do that, I can't do that!",service
569,"Atmosphere for grabbing drinks was nice, and interior design was updated and cool.",ambiance
570,So bring cash!,other
571,Recommendable.,other
572,What can you say about a chain like this?,other
573,"As such, eating pizza was something I only did while intoxicated and even then I would regret it afterwards.",food
574,The employees refused to actually make the food.,service
575,"I can't say enough about Rick, our waiter.",service
576,"After waiting in line and being told to sit, then sitting then being told to stand up and run back to line I'll get you a better table, run, runThe breakfast was awful, eggs weren't cooked right, potatoes were limited, and bacon was only seared.",food
577,"Frequently, this location is also out of guacamole.",service
578,"Meh, I've experienced better is exactly how we left harvest.",other
579,"Overall, service was good.",service
580,5/5 stars!,other
581,Both were excellent.,other
582,This place has the best environment and the food is awesome!,ambiance
583,No real flavor.,food
584,Service was courtesies and fast.,service
585,"(Don't ask how I know, but I'll keep it confidential.)",other
586,"Its reasonably priced, the portions are huge, and the drinks are tall.",food
587,"To which was happily replied, oh we will... we will.",other
588,The food is amazing and the service is as well!,food
589,It's perfect for a large party.,ambiance
590,Salsa had excellent flavor and was not too hot so most people should like it.,food
591,"It was chunked/cubed, and in turn made it very chickeny (it was STUFFED with Chicken) In addition, it was ALL dark meat.",food
592,Pure joy right there ladies and gents!,other
593,We just ordered 2 hoagies that took 1 1/2 hours to be delivered.,service
594,"Stopped here with my wife due to the 18 pizza for $9 sign out front, it didn't disappoint.",food
595,"The staff is amazingly friendly, upon placing our order they asked what type of sauce we wanted, she said oh you haven't been here before?",service
596,"Said hold on, went to the back and brought out 2 cups with each sauce in them and a roll cut up to try the sauce.",food
597,"Then the pizza came out, wow it was huge!",food
598,Crispy and wonderful.,food
599,"Stopped here with my wife due to the 18 pizza for $9 sign out front, it didn't disappoint.",food
